Pays;Monnaie;Code ISO
Afghanistan;Afghani;AFN
Afrique du Sud;Rand sud-africain;ZAR
Albanie;Lek albanais;ALL
Algérie;Dinar algérien;DZD
Allemagne;Euro;EUR
Andorre;Euro;EUR
Angola;Kwanza angolais;AOA
Antigua-et-Barbuda;Dollar des Caraïbes orientales;XCD
Arabie Saoudite;Riyal saoudien;SAR
Argentine;Peso argentin;ARS
Arménie;Dram;AMD
Australie;Dollar australien;AUD
Autriche;Euro;EUR
Azerbaïdjan;Manat azerbaïdjanais;AZN
Bahamas;Dollar bahaméen;BSD
Bahreïn;Dinar bahreïni;BHD
Bangladesh;Taka;BDT
Barbade;Dollar barbadien;BBD
;;
Belgique;Euro;EUR
Belize;Dollar bélizien;BZD
Bénin;Franc CFA;XOF
Bhoutan;Ngultrum;BTN
Biélorussie;Rouble biélorusse;BYN
Birmanie;Kyat;MMK
Bolivie;Boliviano bolivien;BOB
Bosnie-Herzégovine;Mark convertible;BAM
Botswana;Pula botswanais;BWP
Brésil;Réal brésilien;BRL
Brunei;Dollar de Brunei;BND
Bulgarie;Lev bulgare;BGN
Burkina Faso;Franc CFA;XOF
Burundi;Franc burundais;BIF
Cambodge;Riel;KHR
Cameroun;Franc CFA;XAF
Canada;Dollar canadien;CAD
Cap-Vert;Escudo cap-verdien;CVE
Chili;Peso chilien;CLP
Chine;Yuan;CNY
Chypre;Euro;EUR
Colombie;Peso colombien;COP
Comores;Franc comorien;KMF
Congo;Franc CFA;XAF
Corée du Nord;Won nord-coréen;KPW
Corée du Sud;Won sud-coréen;KRW
Costa Rica;Colon costaricien;CRC
Côte d'Ivoire;Franc CFA;XOF
Croatie;Kuna;HRK
Cuba;Peso cubain;CUP
Danemark;Couronne danoise;DKK
Djibouti;Franc de Djibouti;DJF
;;
Dominique;Dollar des Caraïbes orientales;XCD
Egypte;Livre égyptienne;EGP
Emirats Arabes Unis;Dirham des émirats arabes unis;AED
Equateur;Dollar américain;USD
Erythrée;Nakfa érythréen;ERN
Espagne;Euro;EUR
Estonie;Euro;EUR
Etats-Unis;Dollar américain;USD
Ethiopie;Birr éthiopien;ETB
Fidji;Dollar de Fidji;FJD
Finlande;Euro;EUR
France;Euro;EUR
Gabon;Franc CFA;XAF
Gambie;Dalasi gambien;GMD
Géorgie;Lari;GEL
Ghana;Cedi;GHS
Grèce;Euro;EUR
Grenade;Dollar des Caraïbes orientales;XCD
Guatemala;Quetzal guatémaltèque;GTQ
Guinée;Franc guinéen;GNF
Guinée équatoriale;Franc CFA;XAF
Guinée-Bissau;Franc CFA;XOF
Guyana;Dollar guyanien;GYD
Haïti;Gourde haïtienne;HTG
Honduras;Lempira hondurien;HNL
Hongrie;Forint hongrois;HUF
Île Maurice;Roupie mauricienne;MUR
Inde;Roupie indienne;INR
Indonésie;Roupie indonésienne;IDR
Irak;Dinar irakien;IQD
Iran;Rial iranien;IRR
Irlande;Euro;EUR
Islande;Couronne islandaise;ISK
Israël;Shekel;ILS
Italie;Euro;EUR
Jamaïque;Dollar jamaïcain;JMD
Japon;Yen;JPY
Jordanie;Dinar jordanien;JOD
Kazakhstan;Tenge;KZT
Kenya;Shilling kényan;KES
Kirghizistan;Som;KGS
Kiribati;Dollar australien;AUD
Kosovo;Euro (de facto);EUR
Koweït;Dinar koweïtien;KWD
Laos;Kip;LAK
Lesotho;Loti lesothan;LSL
Lettonie;Euro;EUR
Liban;Livre libanaise;LBP
Liberia;Dollar libérien;LRD
Libye;Dinar libyen;LYD
;;
Liechtenstein;Franc suisse;CHF
