Pays;Population;Superficie
Djibouti;1 048 999 hab.;25 030 km²
Eswatini (Swaziland);1 159 250 hab.;17 355 km²
Chypre;1 219 051 hab.;9 251 km²
Timor oriental;1 261 407 hab.;14 954 km²
Maurice;1 265 637 hab.;2 007 km²
Estonie;1 319 133 hab.;45 336 km²
Inde;1 358 408 567 hab.;3 287 469 km²
Trinité-et-Tobago;1 359 193 hab.;5 155 km²
Chine;1 394 112 547 hab.;9 596 961 km²
Antarctique;1 500 hab.;14 107 637 km²
Tokelau;1 556 hab.;10 km²
Guinée-Bissau;1 584 791 hab.;36 125 km²
Bahreïn;1 592 087 hab.;778 km²
Norfolk;1 778 hab.;36 km²
Kosovo;1 798 506 hab.;10 905 km²
Lettonie;1 934 379 hab.;64 573 km²
Gabon;1 995 659 hab.;267 667 km²
Suède;10 196 177 hab.;407 311 km²
République dominicaine;10 266 149 hab.;48 311 km²
Portugal;10 291 027 hab.;92 226 km²
Jordanie;10 305 560 hab.;88 794 km²
Tchéquie;10 668 641 hab.;78 867 km²
Grèce;10 752 660 hab.;132 049 km²
Micronésie;103 196 hab.;725 km²
Antigua-et-Barbuda;104 084 hab.;277 km²
Philippines;107 558 661 hab.;300 439 km²
Îles Vierges des États-Unis;108 298 hab.;348 km²
Cuba;11 239 445 hab.;109 884 km²
Belgique;11 376 070 hab.;30 688 km²
Bénin;11 496 140 hab.;114 763 km²
Bolivie;11 523 705 hab.;1 098 581 km²
Wallis-et-Futuna;11 558 hab.;142 km²
Tunisie;11 582 075 hab.;162 155 km²
Haïti;11 591 279 hab.;27 065 km²
Burundi;11 759 805 hab.;27 834 km²
Guinée;11 883 516 hab.;245 857 km²
Saint-Vincent-et-les-Grenadines;110 049 hab.;384 km²
Aruba;111 673 hab.;180 km²
Kiribati;114 698 hab.;726 km²
Grenade;115 465 hab.;349 km²
Rwanda;12 089 721 hab.;26 338 km²
Nauru;12 696 hab.;21 km²
Soudan du Sud;12 864 588 hab.;644 329 km²
Japon;126 330 302 hab.;377 972 km²
Mexique;127 318 112 hab.;1 964 375 km²
Somalie;13 611 470 hab.;637 657 km²
Zimbabwé;14 025 965 hab.;390 757 km²
Russie;146 716 295 hab.;17 125 402 km²
Artsakh (Haut-Karabakh);147 906 hab.;11 433 km²
Tchad;15 162 044 hab.;1 284 200 km²
Anguilla;15 174 hab.;91 km²
Cambodge;15 288 489 hab.;181 035 km²
Sénégal;16 209 125 hab.;196 712 km²
Équateur;16 803 150 hab.;256 370 km²
Zambie;16 887 720 hab.;770 243 km²
Curaçao;160 012 hab.;444 km²
Îles Anglo-Normandes – Jersey et Guernesey;167 563 hab.;194 km²
Pays-Bas;17 182 462 hab.;41 542 km²
Cook;17 328 hab.;237 km²
Guatemala;17 689 642 hab.;108 930 km²
Palaos;17 820 hab.;416 km²
Malawi;17 918 049 hab.;118 484 km²
Bangladesh;173 548 302 hab.;147 570 km²
Sainte-Lucie;178 696 hab.;603 km²
Guam;179 606 hab.;541 km²
Kazakhstan;18 440 161 hab.;2 724 922 km²
Chili;19 107 216 hab.;756 950 km²
Roumanie;19 524 125 hab.;238 391 km²
Terres australes et antarctiques françaises (TAAF);196 hab.;439 672 km²
Samoa;199 243 hab.;2 830 km²
Guinée équatoriale;2 015 334 hab.;28 051 km²
Macédoine du Nord;2 076 129 hab.;25 713 km²
Slovénie;2 084 301 hab.;20 271 km²
Canaries;2 108 121 hab.;7 447 km²
Lesotho;2 183 687 hab.;30 355 km²
Gambie;2 207 816 hab.;10 689 km²
Botswana;2 325 082 hab.;581 726 km²
Namibie;2 352 592 hab.;824 116 km²
Nioué;2 545 hab.;261 km²
Jamaïque;2 728 864 hab.;10 991 km²
Qatar;2 743 932 hab.;11 651 km²
Bhoutan;2 788 599 hab.;38 394 km²
Lituanie;2 795 674 hab.;65 286 km²
Albanie;2 870 324 hab.;28 748 km²
Arménie;2 969 942 hab.;29 743 km²
Mali;20 252 586 hab.;1 246 814 km²
Burkina Faso;20 870 060 hab.;270 764 km²
Sao Tomé-et-Principe;201 770 hab.;1 001 km²
Niger;21 546 595 hab.;1 266 491 km²
Sri Lanka;21 670 721 hab.;65 610 km²
Brésil;210 301 591 hab.;8 515 759 km²
Pakistan;212 761 108 hab.;796 096 km²
Nigéria;212 871 345 hab.;923 768 km²
Taïwan;23 584 865 hab.;36 197 km²
Cameroun;23 799 022 hab.;475 650 km²
Antilles néerlandaises;230 304 hab.;960 km²
Pays-Bas caribéens;24 548 hab.;322 km²
Açores;243 862 hab.;2 322 km²
Abkhazie;246 313 hab.;8 653 km²
Australie;25 105 503 hab.;7 688 485 km²
Syrie;25 297 296 hab.;185 180 km²
Corée du Nord;25 617 841 hab.;123 138 km²
Côte d’Ivoire;25 823 071 hab.;322 462 km²
Madère;254 368 hab.;802 km²
Madagascar;26 453 320 hab.;587 295 km²
Indonésie;268 674 755 hab.;1 913 579 km²
Mayotte;270 372 hab.;375 km²
Polynésie française;275 918 hab.;3 792 km²
Nouvelle-Calédonie;282 013 hab.;18 576 km²
Vanuatu;285 359 hab.;12 281 km²
Barbade;285 389 hab.;431 km²
Angola;29 131 016 hab.;1 281 432 km²
Népal;29 704 501 hab.;147 181 km²
Guyane;296 711 hab.;83 846 km²
Porto Rico;3 195 153 hab.;9 104 km²
Mongolie;3 229 638 hab.;1 564 116 km²
Bosnie-et-Herzégovine;3 482 041 hab.;51 209 km²
Uruguay;3 505 985 hab.;175 016 km²
Moldavie;3 547 539 hab.;30 794 km²
Malouines;3 617 hab.;12 173 km²
Géorgie;3 729 631 hab.;57 178 km²
Mauritanie;3 984 110 hab.;1 030 700 km²
Ghana;30 280 811 hab.;238 553 km²
Mozambique;30 405 881 hab.;782 574 km²
Afghanistan;31 575 018 hab.;652 864 km²
Venezuela;31 828 110 hab.;916 445 km²
Pérou;32 131 400 hab.;1 285 216 km²
Malaisie;32 549 402 hab.;330 345 km²
Ouzbékistan;32 653 885 hab.;448 970 km²
Îles Vierges britanniques;32 944 hab.;151 km²
Arabie saoudite;33 413 660 hab.;2 149 690 km²
Saint-Marin;33 419 hab.;61 km²
États-Unis;331 883 986 hab.;9 629 047 km²
Yémen;34 232 322 hab.;527 968 km²
Islande;348 450 hab.;103 125 km²
Maroc;35 481 848 hab.;446 550 km²
Saint-Martin (France);35 746 hab.;53 km²
Géorgie du Sud-et-les Îles Sandwich du Sud;35 hab.;4 190 km²
Gibraltar;36 974 hab.;7 km²
Martinique;364 354 hab.;1 128 km²
Canada;37 768 799 hab.;9 984 670 km²
Liechtenstein;38 114 hab.;160 km²
Irak;38 124 182 hab.;435 052 km²
Monaco;38 300 hab.;2 km²
Pologne;38 386 158 hab.;312 679 km²
Guadeloupe;382 704 hab.;1 628 km²
Ouganda;39 612 378 hab.;241 551 km²
Belize;398 050 hab.;22 966 km²
Bahamas;399 421 hab.;13 962 km²
Croatie;4 105 493 hab.;56 594 km²
Panama;4 160 016 hab.;74 177 km²
Chagos;4 239 hab.;56 km²
Oman;4 669 227 hab.;309 550 km²
Koweït;4 727 665 hab.;17 818 km²
Irlande;4 857 198 hab.;70 182 km²
Pount;4 905 246 hab.;212 510 km²
Nouvelle-Zélande;4 913 171 hab.;268 107 km²
Somaliland;4 979 218 hab.;176 119 km²
Soudan;41 435 412 hab.;1 886 068 km²
Ukraine;42 220 824 hab.;576 468 km²
Saint-Martin (Pays-Bas);42 878 hab.;34 km²
Brunei;425 383 hab.;5 765 km²
Algérie;43 003 767 hab.;2 381 741 km²
Turques-et-Caïques;43 013 hab.;948 km²
Kurdistan;44 000 000 hab.;503 000 km²
Argentine;44 494 502 hab.;2 780 400 km²
Malte;446 555 hab.;320 km²
Kenya;46 050 302 hab.;591 971 km²
Espagne;46 698 569 hab.;505 992 km²
Colombie;49 892 184 hab.;1 141 748 km²
Costa Rica;5 003 402 hab.;51 100 km²
Palestine;5 091 819 hab.;6 020 km²
Érythrée;5 187 948 hab.;121 320 km²
Congo;5 279 517 hab.;341 821 km²
Libéria;5 310 548 hab.;111 370 km²
Norvège;5 312 343 hab.;385 180 km²
Montserrat;5 343 hab.;103 km²
Slovaquie;5 450 421 hab.;49 034 km²
Finlande;5 537 519 hab.;338 452 km²
Singapour;5 638 679 hab.;719 km²
Sainte-Hélène, Ascension et Tristan da Cunha;5 705 hab.;415 km²
République centrafricaine;5 745 135 hab.;622 984 km²
Danemark;5 789 957 hab.;42 925 km²
Pitcairn;50 hab.;47 km²
Transnistrie;503 640 hab.;4 163 km²
Féroé;51 312 hab.;1 393 km²
Mariannes du Nord;51 807 hab.;464 km²
Corée du Sud;51 826 059 hab.;100 356 km²
Myanmar (Birmanie);53 343 778 hab.;676 577 km²
Samoa américaines;53 790 hab.;198 km²
Maldives;533 941 hab.;131 km²
Tanzanie;54 199 163 hab.;945 088 km²
Cap-Vert;544 081 hab.;4 033 km²
Marshall;55 663 hab.;182 km²
Groenland;56 025 hab.;2 166 086 km²
Saint-Christophe-et-Niévès;56 345 hab.;272 km²
Ossétie du Sud-Alanie;57 652 hab.;3 900 km²
Afrique du Sud;57 725 606 hab.;1 219 912 km²
Suriname;598 190 hab.;163 821 km²
Saint-Pierre-et-Miquelon;6 008 hab.;242 km²
Kirghizistan;6 256 730 hab.;199 949 km²
Nicaragua;6 460 229 hab.;130 376 km²
Libye;6 549 402 hab.;1 759 540 km²
Liban;6 629 166 hab.;10 389 km²
Salvador;6 641 842 hab.;21 041 km²
Italie;60 494 785 hab.;302 072 km²
Bermudes;61 592 hab.;53 km²
Luxembourg;613 894 hab.;2 586 km²
Monténégro;622 359 hab.;13 812 km²
Caïmans;64 420 hab.;267 km²
Sahara occidental;654 052 hab.;266 000 km²
Royaume-Uni;66 465 641 hab.;242 545 km²
France;66 992 699 hab.;551 695 km²
Macao;663 419 hab.;31 km²
Salomon;667 044 hab.;28 896 km²
Thaïlande;68 863 629 hab.;513 115 km²
Serbie;7 001 444 hab.;77 594 km²
Bulgarie;7 050 034 hab.;110 912 km²
Paraguay;7 054 473 hab.;406 752 km²
Laos;7 230 665 hab.;236 800 km²
Togo;7 352 781 hab.;56 600 km²
Hong Kong;7 448 885 hab.;1 110 km²
Sierra Leone;7 794 974 hab.;71 740 km²
Dominique;74 679 hab.;754 km²
Andorre;76 522 hab.;468 km²
Turkménistan;8 481 200 hab.;491 210 km²
Suisse;8 544 527 hab.;41 285 km²
Autriche;8 822 267 hab.;83 879 km²
Tadjikistan;8 931 496 hab.;142 627 km²
Vatican;804 hab.;1 km²
Iran;81 920 730 hab.;1 629 771 km²
Turquie;82 003 882 hab.;783 562 km²
Man;82 619 hab.;579 km²
Guyana;829 096 hab.;214 970 km²
Allemagne;83 042 235 hab.;357 386 km²
Comores;845 477 hab.;1 862 km²
Réunion;866 506 hab.;2 512 km²
Fidji;890 196 hab.;18 274 km²
Israël;9 008 700 hab.;20 517 km²
Papouasie-Nouvelle-Guinée;9 008 718 hab.;462 840 km²
Honduras;9 181 487 hab.;111 275 km²
Bélarus (Biélorussie);9 477 135 hab.;207 605 km²
Émirats arabes unis;9 541 615 hab.;83 600 km²
Tuvalu;9 605 hab.;26 km²
Hongrie;9 778 371 hab.;93 023 km²
Saint-Barthélemy;9 793 hab.;21 km²
Azerbaïdjan;9 967 730 hab.;86 573 km²
République démocratique du Congo;95 784 841 hab.;2 345 410 km²
Viêt Nam;96 395 051 hab.;331 231 km²
Seychelles;97 023 hab.;459 km²
Tonga;98 659 hab.;749 km²
Éthiopie;98 802 543 hab.;1 132 308 km²
Égypte;99 275 661 hab.;1 010 408 km²
